,0
0,409362.07999376836
1,497218.36088747845
2,278743.72888863593
3,953908.7246654137
4,644495.5941815521
5,139510.5056807908
6,660986.2789151705
7,744259.5623863054
8,1047072.2066789164
9,345371.7222709247
10,124763.70884008455
11,490304.00531469646
12,137939.0286093846
13,158480.7526931074
14,1004512.9209463502
15,298385.0514344068
16,470453.68183108186
17,440317.55422449554
18,588142.6292768581
19,494158.46143363893
20,923951.3119971514
21,1858140.899885998
22,699802.170457184
23,205596.84970254987
24,365705.3931937652
25,542742.3515162918
26,113462.61148392363
27,269663.2669592805
28,715814.5595736031
29,561708.8083620694
30,542486.5452887805
31,301458.57124749024
32,629372.4845892359
33,499648.0957544107
34,796566.8586155475
35,166031.91305799293
36,322777.8782017174
37,11027.608872262179
38,411116.4193899045
39,402166.9613499406
40,475254.0731917815
41,389747.5360769788
42,121446.78511940292
43,1825980.622863846
44,403304.66594334645
45,685701.9118970901
46,503626.3899295849
47,513288.0825722931
48,233844.36671897996
49,595269.8265333589
50,593948.4651786344
51,805900.2559994047
52,207088.6684104993
53,384736.0795800177
54,1312740.7997781402
55,618803.6549387734
56,559170.0794521437
57,626990.2251052209
58,391020.8450059359
59,280547.0234609563
60,422197.2390307344
61,13731.073248034401
62,984494.6820931133
63,263789.08206351066
64,460543.5400355571
65,349194.7526252107
66,448208.05539455905
67,601253.2298891364
68,197977.15589505824
69,464528.08049791434
70,929543.7331257713
71,71715.87460578914
72,877273.3765170412
73,475202.3089784266
74,1151317.882802933
75,627483.3534020305
76,229364.42785564845
77,881695.6734894883
78,386478.9012287215
79,1637477.9261510507
80,356415.2384440409
81,386711.72933239804
82,1098551.5024575116
83,364612.0234713417
84,847319.6664788428
85,928529.1994640961
86,1738762.5704039424
87,604016.4137352939
88,758082.6980849531
89,464651.6935402651
90,650179.9735487273
91,1299500.3662027
92,737564.7792673289
93,121982.4662744074
94,722235.5864679606
95,402251.8400950794
96,349165.040802035
97,319227.0910923054
98,99041.03926663526
99,434046.38369717787
100,1053408.9556538751
101,725945.9845157505
102,342021.3660929585
103,287574.2937648779
104,415209.26668210153
105,561046.6129523264
106,792697.8142733402
107,483816.8124089133
108,1368657.7867521434
109,-54540.79306914343
110,325540.8448623279
111,465437.6948826717
112,403342.03279354784
113,466516.3446860841
114,319783.6934503169
115,694947.1987926596
116,24267.16317777001
117,1947206.3836490824
118,505986.13753638044
119,405646.64555347525
120,659606.001298389
121,388696.8135148287
122,426451.622282946
123,1058794.9511806774
124,197031.09352416627
125,395003.7502981473
126,1061832.09034232
127,943990.6247107204
128,459967.80837064085
129,2065143.352572159
130,707708.7581298653
131,819383.089080294
132,625848.292092289
133,222808.7891259335
134,272275.2059880369
135,994877.6922725331
136,520658.85377161554
137,530334.6943807594
138,417604.2086995094
139,932370.5506848589
140,201269.45360709087
141,385379.9167633302
142,916701.8536951815
143,633599.7844699207
144,93868.33123038191
145,378906.80330743256
146,2258335.240593782
147,562290.1575061425
148,-78083.31427577973
149,657052.4249003615
150,115281.41012761253
151,1204365.7545188563
152,528603.8333665939
153,701398.0649898247
154,1664301.668528983
155,213236.43803666404
156,469773.7425445472
157,611722.1881682861
158,558797.0173529191
159,132052.36588204425
160,420067.04247436556
161,1333782.4112392487
162,554414.1421108834
163,634431.7822556616
164,288728.6299072581
165,1282874.163127996
166,245954.30133730493
167,111315.27559355041
168,644127.7437283058
169,196569.40257940558
170,480177.7332228462
171,61311.488294419716
172,980241.2188866494
173,388118.716083467
174,455767.5856797127
175,146897.25052298605
176,931516.062972681
177,696471.1869523239
178,109279.82915372134
179,163588.0797325222
180,284238.64231195283
181,-40199.754583250295
182,1230344.8347834651
183,541004.6908049441
184,388412.60341529385
185,297517.95835786755
186,734421.9152767252
187,569169.6628545335
188,609538.6128750723
189,421759.00534380425
190,578039.0783998795
191,166466.42609264603
192,206060.98614971206
193,94968.01408065564
194,321127.4794149024
195,381731.42953617044
196,419538.19422515214
197,276853.59705571795
198,558873.0831575172
199,809467.376368118
200,900116.1484164466
201,828162.3924597366
202,1271393.8819621615
203,635171.1204054954
204,695591.6576003995
205,194962.26284690655
206,464417.10586151923
207,336086.3502398161
208,564570.7553257704
209,234628.79036274686
210,203027.28819195938
211,989738.1084680826
212,589562.5982986562
213,1286513.3348767962
214,251539.75037827174
215,136176.78245947737
216,690902.1562081449
217,366166.30294044514
218,375789.02291799407
219,165049.2785141209
220,146119.23757738888
221,978577.0608458301
222,569129.7411681678
223,786911.8997379639
224,532163.2076954951
225,258267.78012333863
226,288230.32078952744
227,114553.06620859401
228,216825.66961804096
229,126946.493592355
230,226706.21289062273
231,666301.1727535895
232,1069044.7638216536
233,825335.196005771
234,131878.38099598733
235,1174874.924722209
236,491361.5097671299
237,585614.9274800796
238,875785.5740559093
239,931683.9908102794
240,530319.3253084049
241,478364.5339560562
242,435812.2707320686
243,690038.2477529556
244,564851.995421336
245,865406.6304797797
246,262403.180707707
247,531285.5556174605
248,392745.0279056729
249,876702.5327049728
250,976123.4260668509
251,888819.9838589184
252,508951.6664216955
253,897863.548075758
254,1386259.8147702282
255,624729.4071450961
256,76471.7086194359
257,438248.4042973424
258,1054454.9017589097
259,493173.9401379917
260,631134.5457809848
261,651229.843706027
262,303541.76054312
263,827138.4389692635
264,797785.8166057108
265,451579.72166574106
266,357544.67810998496
267,719238.2570157907
268,616578.0993873554
269,542092.8668037873
270,1754153.7720522787
271,753962.4297215694
272,515953.843131869
273,762580.5706845636
274,571716.4986742755
275,770192.0528396118
276,271041.2587336383
277,1010726.5862714004
278,613720.6183697506
279,267014.03573761624
280,553948.3748202899
281,547129.2242415601
282,431220.3304291429
283,654662.5524276365
284,257410.94134441565
285,203871.65663987823
286,389035.94447978574
287,414010.9712349409
288,393655.8162264166
289,1312168.8413139926
290,406112.47644179943
291,307732.74922449957
292,491390.62420334027
293,401564.33522036416
294,473986.7000180335
295,903131.4625624724
296,962783.1416325743
297,521241.15333023376
298,249476.58860538382
299,835534.1309002499
300,794467.1587889605
